"ID","householdID","communityID","Birth_Year","Birth_Month","ba003","Current_Hukou","Marital_Status","bf004","Adult_Edu","Age_2011","Edu_Group","Area_Type"
"01045130901","010451309","0104513",1948,7,2,"1","5",1,0,63,1,"1"
"01045131101","010451311","0104513",1948,3,2,"1","5",3,1,63,1,"1"
"01045131202","010451312","0104513",1948,11,2,"1","1",NA,0,63,1,"1"
"01045131401","010451314","0104513",1950,9,2,"1","1",NA,0,61,1,"1"
"01045131402","010451314","0104513",1950,4,2,"1","1",NA,0,61,1,"1"
"01045131501","010451315","0104513",1943,9,2,"1","5",2,0,68,1,"1"
"01045131601","010451316","0104513",1949,10,2,"1","5",4,0,62,1,"1"
"01045131702","010451317","0104513",1951,11,2,"1","1",NA,0,60,1,"1"
"01045132001","010451320","0104513",1942,11,2,"1","4",1,0,69,1,"1"
"01045132201","010451322","0104513",1943,6,2,"1","1",NA,0,68,1,"1"
"01045132202","010451322","0104513",1939,11,2,"1","1",NA,0,72,2,"1"
"01403110101","014031101","0140311",1941,5,2,"2","1",NA,0,70,4,"2"
"01403110102","014031101","0140311",1940,11,2,"2","1",NA,0,71,4,"2"
"01403110202","014031102","0140311",1951,3,1,"2","1",NA,0,60,2,"2"
"01403110502","014031105","0140311",1951,8,1,"2","1",NA,0,60,3,"2"
"01403110702","014031107","0140311",1950,10,1,"2","1",NA,0,61,3,"2"
"01403110802","014031108","0140311",1946,8,2,"2","1",NA,0,65,4,"2"
"01403110901","014031109","0140311",1934,6,1,"2","5",4,0,77,1,"2"
"01403111001","014031110","0140311",1930,8,1,"2","5",4,0,81,1,"2"
"01403111201","014031112","0140311",1948,7,1,"2","1",NA,0,63,2,"2"
"01403111301","014031113","0140311",1950,3,1,"2","4",6,0,61,3,"2"
"01403111401","014031114","0140311",1935,3,1,"2","1",NA,0,76,2,"2"
"01403111402","014031114","0140311",1946,2,1,"2","1",NA,0,65,3,"2"
"01403111601","014031116","0140311",1945,0,1,"2","2",NA,0,66,4,"2"
"01403111801","014031118","0140311",1945,7,1,"2","4",7,0,66,4,"2"
"01403112001","014031120","0140311",1948,11,2,"2","1",NA,1,63,4,"2"
"01403112002","014031120","0140311",1941,3,2,"2","1",NA,0,70,1,"2"
"01403112201","014031122","0140311",1951,1,1,"2","1",NA,0,60,2,"2"
"01403112202","014031122","0140311",1950,8,1,"2","1",NA,1,61,1,"2"
"01403112301","014031123","0140311",1946,12,1,"2","5",5,1,65,3,"2"
"01403120701","014031207","0140312",1949,11,2,"2","1",NA,0,62,4,"1"
"01403120702","014031207","0140312",1951,8,1,"1","2",NA,0,60,1,"1"
"01403120801","014031208","0140312",1948,4,1,"1","1",NA,0,63,3,"1"
"01403120802","014031208","0140312",1951,2,1,"1","1",NA,0,60,2,"1"
"01403121001","014031210","0140312",1933,8,2,"1","5",1,0,78,1,"1"
"01403121102","014031211","0140312",1951,7,1,"1","1",NA,0,60,2,"1"
"01403121201","014031212","0140312",1939,10,2,"1","1",NA,0,72,1,"1"
"01403121202","014031212","0140312",1935,10,2,"1","1",NA,0,76,1,"1"
"01403121501","014031215","0140312",1932,4,1,"3","1",NA,0,79,3,"1"
"01403121502","014031215","0140312",1933,9,2,"1","1",NA,0,78,1,"1"
"01403121601","014031216","0140312",1939,5,2,"1","5",1,1,72,1,"1"
"01403121901","014031219","0140312",1943,8,2,"1","5",1,0,68,1,"1"
"01403122101","014031221","0140312",1948,2,1,"1","1",NA,0,63,2,"1"
"01403122102","014031221","0140312",1941,10,1,"2","1",NA,0,70,3,"1"
"01403122201","014031222","0140312",1942,1,2,"1","5",1,0,69,1,"1"
"01403122302","014031223","0140312",1951,11,2,"1","1",NA,0,60,1,"1"
"01403122401","014031224","0140312",1934,9,2,"1","5",1,0,77,2,"1"
"01403122501","014031225","0140312",1927,10,1,"1","5",4,0,84,2,"1"
"01403130101","014031301","0140313",1939,2,1,"2","1",NA,0,72,NA,"2"
"01403130102","014031301","0140313",1943,12,2,"2","1",NA,0,68,3,"2"
"01403130201","014031302","0140313",1940,4,2,"2","1",NA,0,71,1,"2"
"01403130202","014031302","0140313",1939,5,2,"2","1",NA,0,72,1,"2"
"01403130601","014031306","0140313",1935,8,2,"2","1",NA,0,76,2,"2"
"01403130602","014031306","0140313",1936,6,1,"2","1",NA,0,75,2,"2"
"01403130901","014031309","0140313",1951,1,2,"2","1",NA,0,60,1,"2"
"01403130902","014031309","0140313",1946,1,2,"2","1",NA,0,65,2,"2"
"01403131001","014031310","0140313",1945,6,2,"2","1",NA,0,66,2,"2"
"01403131002","014031310","0140313",1936,8,2,"2","1",NA,0,75,1,"2"
"01403131101","014031311","0140313",1947,2,1,"2","1",NA,0,64,2,"2"
"01403131201","014031312","0140313",1949,8,2,"2","1",NA,0,62,2,"2"
"01405110301","014051103","0140511",1944,10,2,"1","1",NA,0,67,2,"1"
"01405110302","014051103","0140511",1942,1,2,"1","1",NA,0,69,3,"1"
"01405110501","014051105","0140511",1951,6,2,"1","1",NA,0,60,2,"1"
"01405110601","014051106","0140511",1946,5,2,"1","1",NA,0,65,1,"1"
"01405110602","014051106","0140511",1947,2,2,"1","1",NA,0,64,1,"1"
"01405110701","014051107","0140511",1949,12,2,"1","1",NA,0,62,2,"1"
"01405110702","014051107","0140511",1950,4,2,"1","1",NA,0,61,1,"1"
"01405111101","014051111","0140511",1931,1,2,"1","1",NA,0,80,2,"1"
"01405111102","014051111","0140511",1934,3,2,"1","1",NA,0,77,1,"1"
"01405111401","014051114","0140511",1942,2,2,"1","1",NA,0,69,1,"1"
"01405111601","014051116","0140511",1949,6,2,"1","1",NA,0,62,1,"1"
"01405111602","014051116","0140511",1951,3,2,"1","1",NA,0,60,2,"1"
"01405111701","014051117","0140511",1934,11,1,"1","5",1,0,77,1,"1"
"01405111801","014051118","0140511",1928,0,1,"1","1",NA,0,83,1,"1"
"01405111802","014051118","0140511",1935,11,2,"1","1",NA,0,76,1,"1"
"01405120101","014051201","0140512",1950,3,2,"1","1",NA,0,61,1,"1"
"01405120201","014051202","0140512",1945,7,1,"1","1",NA,0,66,1,"1"
"01405120202","014051202","0140512",1941,10,2,"1","1",NA,0,70,1,"1"
"01405120301","014051203","0140512",1929,1,2,"1","5",1,0,82,1,"1"
"01405120901","014051209","0140512",1923,11,2,"1","5",1,0,88,1,"1"
